SHEET: AHU

B2    | t=s          | F:  | V: Select AHU/PAU Components
T9    | t=           | F:  | V: 1350
U9    | t=           | F:  | V: 850
W9    | t=s          | F:  | V: A1-1010H-1350W
X9    | t=str        | F:  | V: 
Y9    | t=           | F:  | V: 6480
Z9    | t=           | F:  | V: 1800
AA9   | t=str        | F:  | V: 
AB9   | t=           | F:  | V: 5832
AC9   | t=           | F:  | V: 1620
AD9   | t=           | F:  | V: 150
AE9   | t=           | F:  | V: 1290
AF9   | t=           | F:  | V: 985
AH9   | t=s          | F:  | V: 008
AI9   | t=           | F:  | V: 310
AJ9   | t=           | F:  | V: 155
AK9   | t=           | F:  | V: 620
AL9   | t=           | F:  | V: 310
AM9   | t=           | F:  | V: 310
AN9   | t=           | F:  | V: 465
AO9   | t=           | F:  | V: 620
AP9   | t=           | F:  | V: 310
AQ9   | t=           | F:  | V: 700
AR9   | t=           | F:  | V: 930
AS9   | t=           | F:  | V: 300
AT9   | t=           | F:  | V: 0
AU9   | t=           | F:  | V: 0
AV9   | t=           | F:  | V: 0
AW9   | t=           | F:  | V: 0
AX9   | t=           | F:  | V: 0
AY9   | t=           | F:  | V: 0
AZ9   | t=           | F:  | V: 0
BA9   | t=           | F:  | V: 0
L10   | t=s          | F:  | V: 008
M10   | t=str        | F:  | V: 
N10   | t=           | F:  | V: 6570
O10   | t=           | F:  | V: 1825
P10   | t=str        | F:  | V: 
Q10   | t=           | F:  | V: 5913
R10   | t=           | F:  | V: 1642.5
S10   | t=           | F:  | V: 150
T10   | t=           | F:  | V: 1650
U10   | t=           | F:  | V: 850
W10   | t=s          | F:  | V: A1-1010H-1650W
X10   | t=str        | F:  | V: 
Y10   | t=           | F:  | V: 8532
Z10   | t=           | F:  | V: 2370
AA10  | t=str        | F:  | V: 
AB10  | t=           | F:  | V: 7678
AC10  | t=           | F:  | V: 2132.7777777777778
AD10  | t=           | F:  | V: 150
AE10  | t=           | F:  | V: 1595
AF10  | t=           | F:  | V: 985
AH10  | t=s          | F:  | V: 010
AI10  | t=           | F:  | V: 465
AJ10  | t=           | F:  | V: 155
AK10  | t=           | F:  | V: 620
AL10  | t=           | F:  | V: 310
AM10  | t=           | F:  | V: 310
AN10  | t=           | F:  | V: 465
AO10  | t=           | F:  | V: 620
AP10  | t=           | F:  | V: 310
AQ10  | t=           | F:  | V: 700
AR10  | t=           | F:  | V: 930
AS10  | t=           | F:  | V: 300
AT10  | t=           | F:  | V: 0
AU10  | t=           | F:  | V: 0
AV10  | t=           | F:  | V: 0
AW10  | t=           | F:  | V: 0
AX10  | t=           | F:  | V: 0
AY10  | t=           | F:  | V: 0
AZ10  | t=           | F:  | V: 0
BA10  | t=           | F:  | V: 0
L11   | t=s          | F:  | V: 010
M11   | t=str        | F:  | V: 
N11   | t=           | F:  | V: 8010
O11   | t=           | F:  | V: 2225
P11   | t=str        | F:  | V: 
Q11   | t=           | F:  | V: 7209
R11   | t=           | F:  | V: 2002.5
S11   | t=           | F:  | V: 150
T11   | t=           | F:  | V: 1350
U11   | t=           | F:  | V: 1150
W11   | t=s          | F:  | V: A1-1330H-1650W
X11   | t=str        | F:  | V: 
Y11   | t=           | F:  | V: 12132
Z11   | t=           | F:  | V: 3370
AA11  | t=str        | F:  | V: 
AB11  | t=           | F:  | V: 10919
AC11  | t=           | F:  | V: 3033.0555555555557
AD11  | t=           | F:  | V: 150
AE11  | t=           | F:  | V: 1595
AF11  | t=           | F:  | V: 1290
AH11  | t=s          | F:  | V: 012
AI11  | t=           | F:  | V: 465
AJ11  | t=           | F:  | V: 155
AK11  | t=           | F:  | V: 620
AL11  | t=           | F:  | V: 310
AM11  | t=           | F:  | V: 310
AN11  | t=           | F:  | V: 465
AO11  | t=           | F:  | V: 620
AP11  | t=           | F:  | V: 310
AQ11  | t=           | F:  | V: 700
AR11  | t=           | F:  | V: 1240
AS11  | t=           | F:  | V: 300
AT11  | t=           | F:  | V: 0
AU11  | t=           | F:  | V: 0
AV11  | t=           | F:  | V: 0
AW11  | t=           | F:  | V: 0
AX11  | t=           | F:  | V: 0
AY11  | t=           | F:  | V: 0
AZ11  | t=           | F:  | V: 0
BA11  | t=           | F:  | V: 0
L12   | t=s          | F:  | V: 012
M12   | t=str        | F:  | V: 
N12   | t=           | F:  | V: 10350
O12   | t=           | F:  | V: 2875
P12   | t=str        | F:  | V: 
Q12   | t=           | F:  | V: 9315
R12   | t=           | F:  | V: 2587.5
S12   | t=           | F:  | V: 150
T12   | t=           | F:  | V: 1650
U12   | t=           | F:  | V: 1150
W12   | t=s          | F:  | V: A1-1610H-1650W
X12   | t=str        | F:  | V: 
Y12   | t=           | F:  | V: 15300
Z12   | t=           | F:  | V: 4250
AA12  | t=str        | F:  | V: 
AB12  | t=           | F:  | V: 13770
AC12  | t=           | F:  | V: 3825
AD12  | t=           | F:  | V: 150
AE12  | t=           | F:  | V: 1595
AF12  | t=           | F:  | V: 1595
AH12  | t=s          | F:  | V: 014
AI12  | t=           | F:  | V: 465
AJ12  | t=           | F:  | V: 155
AK12  | t=           | F:  | V: 620
AL12  | t=           | F:  | V: 310
AM12  | t=           | F:  | V: 310
AN12  | t=           | F:  | V: 465
AO12  | t=           | F:  | V: 620
AP12  | t=           | F:  | V: 310
AQ12  | t=           | F:  | V: 700
AR12  | t=           | F:  | V: 1240
AS12  | t=           | F:  | V: 300
AT12  | t=           | F:  | V: 0
AU12  | t=           | F:  | V: 0
AV12  | t=           | F:  | V: 0
AW12  | t=           | F:  | V: 0
AX12  | t=           | F:  | V: 0
AY12  | t=           | F:  | V: 0
AZ12  | t=           | F:  | V: 0
BA12  | t=           | F:  | V: 0
L13   | t=s          | F:  | V: 014
M13   | t=str        | F:  | V: 
N13   | t=           | F:  | V: 12780
O13   | t=           | F:  | V: 3550
P13   | t=str        | F:  | V: 
Q13   | t=           | F:  | V: 11502
R13   | t=           | F:  | V: 3195
S13   | t=           | F:  | V: 150
T13   | t=           | F:  | V: 1950
U13   | t=           | F:  | V: 1150
W13   | t=s          | F:  | V: A1-1610H-1950W
X13   | t=str        | F:  | V: 
Y13   | t=           | F:  | V: 18360
Z13   | t=           | F:  | V: 5100
AA13  | t=str        | F:  | V: 
AB13  | t=           | F:  | V: 16524
AC13  | t=           | F:  | V: 4590
AD13  | t=           | F:  | V: 150
AE13  | t=           | F:  | V: 1900
AF13  | t=           | F:  | V: 1595
AH13  | t=s          | F:  | V: 016
AI13  | t=           | F:  | V: 465
AJ13  | t=           | F:  | V: 155
AK13  | t=           | F:  | V: 620
AL13  | t=           | F:  | V: 310
AM13  | t=           | F:  | V: 310
AN13  | t=           | F:  | V: 465
AO13  | t=           | F:  | V: 620
AP13  | t=           | F:  | V: 310
AQ13  | t=           | F:  | V: 700
AR13  | t=           | F:  | V: 1240
AS13  | t=           | F:  | V: 300
AT13  | t=           | F:  | V: 0
AU13  | t=           | F:  | V: 0
AV13  | t=           | F:  | V: 0
AW13  | t=           | F:  | V: 0
AX13  | t=           | F:  | V: 0
AY13  | t=           | F:  | V: 0
AZ13  | t=           | F:  | V: 0
BA13  | t=           | F:  | V: 0
L14   | t=s          | F:  | V: 016
M14   | t=str        | F:  | V: 
N14   | t=           | F:  | V: 14220
O14   | t=           | F:  | V: 3950
P14   | t=str        | F:  | V: 
Q14   | t=           | F:  | V: 12798
R14   | t=           | F:  | V: 3555
