SHEET: Supporting 6.1

A1    | t=s          | F:  | V: 1. μ = W/Ws
J48   | t=           | F:  | V: -7.7355345988001062E-2
A49   | t=           | F:  | V: 9
B49   | t=           | F:  | V: -7.7357348848030458E-2
C49   | t=           | F:  | V: -7.7355345988001062E-2
D49   | t=           | F:  | V: 0.60778670181072048
E49   | t=           | F:  | V: 0.60778661332249717
F49   | t=           | F: 0.62198*(D49/('Psychrometric Chart'!$C$6-D49)) | V: 3.7533919020675309E-3
G49   | t=           | F: 0.62198*(E49/('Psychrometric Chart'!$C$6-E49)) | V: 3.7533913523101043E-3
H49   | t=           | F: ((2501-2.381*C49)*F49-('Supporting 6'!$A$10-C49))/(2501+1.805*'Supporting 6'!$A$10-4.186*C49)-'Supporting 6'!$A$7 | V: -5.2422001163990664E-5
I49   | t=           | F: ((2501-2.381*E49)*G49-('Supporting 6'!$A$10-E49))/(2501+1.805*'Supporting 6'!$A$10-4.186*E49)-'Supporting 6'!$A$7 | V: 2.2362572276980871E-4
J49   | t=           | F:  | V: -7.7355726335026923E-2
A50   | t=           | F:  | V: 10
B50   | t=           | F:  | V: -7.7355345988001062E-2
C50   | t=           | F:  | V: -7.7355726335026923E-2
D50   | t=           | F:  | V: 0.60778668500663646
E50   | t=           | F:  | V: 0.60778670181072048
F50   | t=           | F: 0.62198*(D50/('Psychrometric Chart'!$C$6-D50)) | V: 3.7533917976675366E-3
G50   | t=           | F: 0.62198*(E50/('Psychrometric Chart'!$C$6-E50)) | V: 3.7533919020675309E-3
H50   | t=           | F: ((2501-2.381*C50)*F50-('Supporting 6'!$A$10-C50))/(2501+1.805*'Supporting 6'!$A$10-4.186*C50)-'Supporting 6'!$A$7 | V: -5.2422258626805621E-5
I50   | t=           | F: ((2501-2.381*E50)*G50-('Supporting 6'!$A$10-E50))/(2501+1.805*'Supporting 6'!$A$10-4.186*E50)-'Supporting 6'!$A$7 | V: 2.2362630846205168E-4
J50   | t=           | F:  | V: -7.7355654106250782E-2
A51   | t=           | F:  | V: 11
B51   | t=           | F:  | V: -7.7355726335026923E-2
C51   | t=           | F:  | V: -7.7355654106250782E-2
D51   | t=           | F:  | V: 0.6077866881977636
E51   | t=           | F:  | V: 0.60778668500663646
F51   | t=           | F: 0.62198*(D51/('Psychrometric Chart'!$C$6-D51)) | V: 3.7533918174932923E-3
G51   | t=           | F: 0.62198*(E51/('Psychrometric Chart'!$C$6-E51)) | V: 3.7533917976675366E-3
H51   | t=           | F: ((2501-2.381*C51)*F51-('Supporting 6'!$A$10-C51))/(2501+1.805*'Supporting 6'!$A$10-4.186*C51)-'Supporting 6'!$A$7 | V: -5.2422209734067672E-5
I51   | t=           | F: ((2501-2.381*E51)*G51-('Supporting 6'!$A$10-E51))/(2501+1.805*'Supporting 6'!$A$10-4.186*E51)-'Supporting 6'!$A$7 | V: 2.2362619723796618E-4
J51   | t=           | F:  | V: -7.7355667822656876E-2
A52   | t=           | F:  | V: 12
B52   | t=           | F:  | V: -7.7355654106250782E-2
C52   | t=           | F:  | V: -7.7355667822656876E-2
D52   | t=           | F:  | V: 0.60778668759176901
E52   | t=           | F:  | V: 0.6077866881977636
F52   | t=           | F: 0.62198*(D52/('Psychrometric Chart'!$C$6-D52)) | V: 3.7533918137283842E-3
G52   | t=           | F: 0.62198*(E52/('Psychrometric Chart'!$C$6-E52)) | V: 3.7533918174932923E-3
H52   | t=           | F: ((2501-2.381*C52)*F52-('Supporting 6'!$A$10-C52))/(2501+1.805*'Supporting 6'!$A$10-4.186*C52)-'Supporting 6'!$A$7 | V: -5.2422219018859791E-5
I52   | t=           | F: ((2501-2.381*E52)*G52-('Supporting 6'!$A$10-E52))/(2501+1.805*'Supporting 6'!$A$10-4.186*E52)-'Supporting 6'!$A$7 | V: 2.2362621835962963E-4
J52   | t=           | F:  | V: -7.7355665217880509E-2
A57   | t=s          | F:  | V: BY SECANT METHOD:
A58   | t=s          | F:  | V: k
B58   | t=s          | F:  | V: tk-1
C58   | t=s          | F:  | V: tk
D58   | t=s          | F:  | V: Pws(tk)
E58   | t=s          | F:  | V: Pws(tk-1)
F58   | t=s          | F:  | V: μ(tk)
G58   | t=s          | F:  | V: μ(tk-1)
H58   | t=s          | F:  | V: F(tk)
I58   | t=s          | F:  | V: F(tk-1)
J58   | t=s          | F:  | V: tk+1
A59   | t=           | F:  | V: 1
B59   | t=           | F:  | V: 0
C59   | t=           | F:  | V: 50
D59   | t=           | F: EXP(-5800.2206/(273.15+C59)+1.3914993-0.048640239*(273.15+C59)+0.000041764768*POWER((273.15+C59),2)-0.000000014452093*POWER((273.15+C59),3)+6.5459673*LN(273.15+C59))/1000 | V: 12.349856466723748
E59   | t=           | F: EXP(-5800.2206/(273.15+B59)+1.3914993-0.048640239*(273.15+B59)+0.000041764768*POWER((273.15+B59),2)-0.000000014452093*POWER((273.15+B59),3)+6.5459673*LN(273.15+B59))/1000 | V: 0.6112128674511893
F59   | t=           | F: 'Supporting 6'!$C$7/(0.62198*D59/('Psychrometric Chart'!$C$6-D59)) | V: 4.3723039848165481E-2
G59   | t=           | F: 'Supporting 6'!$C$7/(0.62198*E59/('Psychrometric Chart'!$C$6-E59)) | V: 1.0000000000000036
H59   | t=           | F: F59/(1-(1-F59)*(D59/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$D$12/100) | V: -0.35050850436212905
I59   | t=           | F: G59/(1-(1-G59)*(E59/'Psychrometric Chart'!$C$6))-('Psychrometric Chart'!$D$12/100) | V: 0.60000000000000353
J59   | t=           | F: C59-(C59-B59)*H59/(H59-I59) | V: 31.562053219221415
A60   | t=           | F:  | V: 2
B60   | t=           | F: C59 | V: 50
