SHEET: Fan

B2    | t=s          | F:  | V: Fan Selection
K20   | t=s          | F:  | V: -
L20   | t=s          | F:  | V: -
M20   | t=s          | F:  | V: -
N20   | t=s          | F:  | V: -
O20   | t=s          | F:  | V: -
P20   | t=s          | F:  | V: -
Q20   | t=s          | F:  | V: -
R20   | t=s          | F:  | V: -
S20   | t=s          | F:  | V: -
T20   | t=s          | F:  | V: -
U20   | t=s          | F:  | V: -
V20   | t=s          | F:  | V: -
W20   | t=s          | F:  | V: -
X20   | t=s          | F:  | V: -
Y20   | t=s          | F:  | V: -
Z20   | t=s          | F:  | V: -
AA20  | t=s          | F:  | V: -
AB20  | t=s          | F:  | V: -
AC20  | t=s          | F:  | V: -
AD20  | t=s          | F:  | V: -
AE20  | t=s          | F:  | V: -
AF20  | t=s          | F:  | V: -
AG20  | t=s          | F:  | V: -
AH20  | t=s          | F:  | V: -
AI20  | t=s          | F:  | V: -
AJ20  | t=s          | F:  | V: -
AK20  | t=s          | F:  | V: -
AL20  | t=s          | F:  | V: -
AM20  | t=s          | F:  | V: -
AN20  | t=s          | F:  | V: FY-15BCS-D
AO20  | t=s          | F:  | V: 545 x 1020 x 893
AP20  | t=           | F:  | V: 90
AQ20  | t=           | F:  | V: 0.55000000000000004
AR20  | t=s          | F:  | V: -
AS20  | t=s          | F:  | V: -
AT20  | t=s          | F:  | V: -
AU20  | t=s          | F:  | V: -
AV20  | t=s          | F:  | V: -
AW20  | t=s          | F:  | V: -
AX20  | t=s          | F:  | V: -
AY20  | t=s          | F:  | V: -
AZ20  | t=s          | F:  | V: -
BA20  | t=s          | F:  | V: -
BB20  | t=s          | F:  | V: -
BC20  | t=s          | F:  | V: -
BD20  | t=s          | F:  | V: -
BE20  | t=s          | F:  | V: -
BF20  | t=s          | F:  | V: -
BG20  | t=s          | F:  | V: -
BH20  | t=s          | F:  | V: RK-600X300-F1
BI20  | t=s          | F:  | V: 643 x 642 x 364
BJ20  | t=           | F:  | V: 32
BK20  | t=           | F:  | V: 1.5
BL20  | t=s          | F:  | V: RK-600X300-F1
BM20  | t=s          | F:  | V: 643 x 642 x 364
BN20  | t=           | F:  | V: 32
BO20  | t=           | F:  | V: 1.5
BP20  | t=s          | F:  | V: RK-600X300-F3
BQ20  | t=s          | F:  | V: 643 x 642 x 364
BR20  | t=           | F:  | V: 32
BS20  | t=           | F:  | V: 1.5
BT20  | t=s          | F:  | V: RK-600X350-E1
BU20  | t=s          | F:  | V: 717 x 643 x 414
BV20  | t=           | F:  | V: 42
BW20  | t=           | F:  | V: 2.2000000000000002
BX20  | t=s          | F:  | V: RK-600X350-E1
BY20  | t=s          | F:  | V: 717 x 643 x 414
BZ20  | t=           | F:  | V: 42
CA20  | t=           | F:  | V: 2.2000000000000002
CB20  | t=s          | F:  | V: -
CC20  | t=s          | F:  | V: -
CD20  | t=s          | F:  | V: -
CE20  | t=s          | F:  | V: -
CF20  | t=s          | F:  | V: -
CG20  | t=s          | F:  | V: -
CH20  | t=s          | F:  | V: -
CI20  | t=s          | F:  | V: -
CJ20  | t=s          | F:  | V: -
CK20  | t=s          | F:  | V: -
CL20  | t=s          | F:  | V: -
CM20  | t=s          | F:  | V: -
CN20  | t=s          | F:  | V: -
CO20  | t=s          | F:  | V: -
CP20  | t=s          | F:  | V: -
CQ20  | t=s          | F:  | V: -
CR20  | t=s          | F:  | V: -
CS20  | t=s          | F:  | V: -
CT20  | t=s          | F:  | V: -
CU20  | t=s          | F:  | V: -
B21   | t=           | F:  | V: 3000
C21   | t=           | F:  | V: 833.33333333333326
D21   | t=s          | F:  | V: -
E21   | t=s          | F:  | V: -
F21   | t=s          | F:  | V: -
G21   | t=s          | F:  | V: -
H21   | t=s          | F:  | V: -
I21   | t=s          | F:  | V: -
J21   | t=s          | F:  | V: -
K21   | t=s          | F:  | V: -
L21   | t=s          | F:  | V: -
M21   | t=s          | F:  | V: -
N21   | t=s          | F:  | V: -
O21   | t=s          | F:  | V: -
P21   | t=s          | F:  | V: -
Q21   | t=s          | F:  | V: -
R21   | t=s          | F:  | V: -
S21   | t=s          | F:  | V: -
T21   | t=s          | F:  | V: FY-15BCD-D
U21   | t=s          | F:  | V: 758 x 1030 x 888
V21   | t=           | F:  | V: 115
W21   | t=           | F:  | V: 0.75
X21   | t=s          | F:  | V: -
Y21   | t=s          | F:  | V: -
Z21   | t=s          | F:  | V: -
AA21  | t=s          | F:  | V: -
AB21  | t=s          | F:  | V: -
AC21  | t=s          | F:  | V: -
AD21  | t=s          | F:  | V: -
AE21  | t=s          | F:  | V: -
AF21  | t=s          | F:  | V: -
AG21  | t=s          | F:  | V: -
AH21  | t=s          | F:  | V: -
AI21  | t=s          | F:  | V: -
AJ21  | t=s          | F:  | V: -
AK21  | t=s          | F:  | V: -
AL21  | t=s          | F:  | V: -
AM21  | t=s          | F:  | V: -
AN21  | t=s          | F:  | V: FY-15BCS-D
AO21  | t=s          | F:  | V: 545 x 1020 x 893
AP21  | t=           | F:  | V: 90
AQ21  | t=           | F:  | V: 0.75
AR21  | t=s          | F:  | V: FY-18BCS-D
AS21  | t=s          | F:  | V: 615 x 1080 x 1008
AT21  | t=           | F:  | V: 115
AU21  | t=           | F:  | V: 1.5
AV21  | t=s          | F:  | V: -
AW21  | t=s          | F:  | V: -
AX21  | t=s          | F:  | V: -
AY21  | t=s          | F:  | V: -
AZ21  | t=s          | F:  | V: -
BA21  | t=s          | F:  | V: -
BB21  | t=s          | F:  | V: -
BC21  | t=s          | F:  | V: -
BD21  | t=s          | F:  | V: -
BE21  | t=s          | F:  | V: -
BF21  | t=s          | F:  | V: -
BG21  | t=s          | F:  | V: -
BH21  | t=s          | F:  | V: RK-600X300-F3
