SHEET: Supporting 5.1

B27   | t=           | F: C26 | V: 50
C27   | t=           | F: F26:F26 | V: 19.009710090405978
D27   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C27-'Psychrometric Chart'!$D$10))/(2501+1.805*C27-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -1.7048816528702701E-4
E27   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B27-'Psychrometric Chart'!$D$10))/(2501+1.805*B27-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -1.2397501805955774E-2
F27   | t=           | F:  | V: 18.577594953899858
A28   | t=           | F:  | V: 3
B28   | t=           | F:  | V: 19.009710090405978
C28   | t=           | F:  | V: 18.577594953899858
D28   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C28-'Psychrometric Chart'!$D$10))/(2501+1.805*C28-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 3.8766268821762567E-6
E28   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B28-'Psychrometric Chart'!$D$10))/(2501+1.805*B28-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -1.7048816528702701E-4
F28   | t=           | F:  | V: 18.587202106430681
A29   | t=           | F:  | V: 4
B29   | t=           | F:  | V: 18.577594953899858
C29   | t=           | F:  | V: 18.587202106430681
D29   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C29-'Psychrometric Chart'!$D$10))/(2501+1.805*C29-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -1.1852398559136779E-9
E29   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B29-'Psychrometric Chart'!$D$10))/(2501+1.805*B29-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 3.8766268821762567E-6
F29   | t=           | F:  | V: 18.587199170037756
A30   | t=           | F:  | V: 5
B30   | t=           | F:  | V: 18.587202106430681
C30   | t=           | F:  | V: 18.587199170037756
D30   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C30-'Psychrometric Chart'!$D$10))/(2501+1.805*C30-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -8.2373344256758685E-15
E30   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B30-'Psychrometric Chart'!$D$10))/(2501+1.805*B30-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -1.1852398559136779E-9
F30   | t=           | F:  | V: 18.58719917001735
A31   | t=           | F:  | V: 6
B31   | t=           | F:  | V: 18.587199170037756
C31   | t=           | F:  | V: 18.58719917001735
D31   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C31-'Psychrometric Chart'!$D$10))/(2501+1.805*C31-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 0
E31   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B31-'Psychrometric Chart'!$D$10))/(2501+1.805*B31-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: -8.2373344256758685E-15
F31   | t=           | F:  | V: 18.58719917001735
A32   | t=           | F:  | V: 7
B32   | t=           | F:  | V: 18.58719917001735
C32   | t=           | F:  | V: 18.58719917001735
D32   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C32-'Psychrometric Chart'!$D$10))/(2501+1.805*C32-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 0
E32   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B32-'Psychrometric Chart'!$D$10))/(2501+1.805*B32-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 0
F32   | t=e          | F:  | V: #DIV/0!
A33   | t=           | F:  | V: 8
B33   | t=           | F:  | V: 18.58719917001735
C33   | t=e          | F:  | V: #DIV/0!
D33   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C33-'Psychrometric Chart'!$D$10))/(2501+1.805*C33-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
E33   | t=           | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B33-'Psychrometric Chart'!$D$10))/(2501+1.805*B33-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: 0
F33   | t=e          | F:  | V: #DIV/0!
A34   | t=           | F:  | V: 9
B34   | t=e          | F:  | V: #DIV/0!
C34   | t=e          | F:  | V: #DIV/0!
D34   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C34-'Psychrometric Chart'!$D$10))/(2501+1.805*C34-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
E34   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B34-'Psychrometric Chart'!$D$10))/(2501+1.805*B34-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
F34   | t=e          | F:  | V: #DIV/0!
A35   | t=           | F:  | V: 10
B35   | t=e          | F:  | V: #DIV/0!
C35   | t=e          | F:  | V: #DIV/0!
D35   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C35-'Psychrometric Chart'!$D$10))/(2501+1.805*C35-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
E35   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B35-'Psychrometric Chart'!$D$10))/(2501+1.805*B35-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
F35   | t=e          | F:  | V: #DIV/0!
A36   | t=           | F:  | V: 11
B36   | t=e          | F:  | V: #DIV/0!
C36   | t=e          | F:  | V: #DIV/0!
D36   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C36-'Psychrometric Chart'!$D$10))/(2501+1.805*C36-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
E36   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B36-'Psychrometric Chart'!$D$10))/(2501+1.805*B36-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
F36   | t=e          | F:  | V: #DIV/0!
A37   | t=           | F:  | V: 12
B37   | t=e          | F:  | V: #DIV/0!
C37   | t=e          | F:  | V: #DIV/0!
D37   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(C37-'Psychrometric Chart'!$D$10))/(2501+1.805*C37-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
E37   | t=e          | F: ((2501-2.381*'Psychrometric Chart'!$D$10)*'Supproting 5'!$C$7-(B37-'Psychrometric Chart'!$D$10))/(2501+1.805*B37-4.186*'Psychrometric Chart'!$D$10)-'Supproting 5'!$C$15 | V: #DIV/0!
F37   | t=e          | F:  | V: #DIV/0!
