SHEET: Wheel Support

A1    | t=s          | F:  | V: Summer Supply Intlet
AN3   | t=s          | F:  | V: m
AT3   | t=e          | F: Wheel!CH6 | V: #N/A
AW3   | t=s          | F:  | V: Altitude
AX3   | t=           | F: Wheel!$G$4 | V: 1.2
AY3   | t=s          | F:  | V: m
BE3   | t=e          | F: Wheel!CX6 | V: #N/A
BH3   | t=s          | F:  | V: Altitude
BI3   | t=           | F: Wheel!$G$4 | V: 1.2
BJ3   | t=s          | F:  | V: m
BP3   | t=           | F: Wheel!DH6+Wheel!DL6 | V: 0
BS3   | t=s          | F:  | V: Altitude
BT3   | t=           | F: Wheel!$G$4 | V: 1.2
BU3   | t=s          | F:  | V: m
CA3   | t=           | F: Wheel!DW6+Wheel!EA6 | V: 0
CD3   | t=s          | F:  | V: Altitude
CE3   | t=           | F: Wheel!$G$4 | V: 1.2
CF3   | t=s          | F:  | V: m
A5    | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
B5    | t=           | F: 273.15+B2 | V: 273.14999999999998
L5    | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
M5    | t=           | F: 273.15+M2 | V: 273.14999999999998
W5    | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
X5    | t=           | F: 273.15+X2 | V: 273.14999999999998
AH5   | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
AI5   | t=           | F: 273.15+AI2 | V: 273.14999999999998
AS5   | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
AT5   | t=e          | F: 273.15+AT2 | V: #VALUE!
BD5   | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
BE5   | t=e          | F: 273.15+BE2 | V: #VALUE!
BO5   | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
BP5   | t=e          | F: 273.15+BP2 | V: #VALUE!
BZ5   | t=s          | F:  | V: Pwz(t) = Saturation pressure for temperature t (kPa) 
CA5   | t=e          | F: 273.15+CA2 | V: #VALUE!
A6    | t=           | F: -5800.2206/B5+1.3914993-0.048640239*B5 | V: -33.129143945141777
L6    | t=           | F: -5800.2206/M5+1.3914993-0.048640239*M5 | V: -33.129143945141777
W6    | t=           | F: -5800.2206/X5+1.3914993-0.048640239*X5 | V: -33.129143945141777
AH6   | t=           | F: -5800.2206/AI5+1.3914993-0.048640239*AI5 | V: -33.129143945141777
AS6   | t=e          | F: -5800.2206/AT5+1.3914993-0.048640239*AT5 | V: #VALUE!
BD6   | t=e          | F: -5800.2206/BE5+1.3914993-0.048640239*BE5 | V: #VALUE!
BO6   | t=e          | F: -5800.2206/BP5+1.3914993-0.048640239*BP5 | V: #VALUE!
BZ6   | t=e          | F: -5800.2206/CA5+1.3914993-0.048640239*CA5 | V: #VALUE!
A7    | t=           | F: 0.000041764768*POWER(B5,2)-0.000000014452093*POWER(B5,3)+6.5459673*LN(B5) | V: 39.544589235539483
L7    | t=           | F: 0.000041764768*POWER(M5,2)-0.000000014452093*POWER(M5,3)+6.5459673*LN(M5) | V: 39.544589235539483
W7    | t=           | F: 0.000041764768*POWER(X5,2)-0.000000014452093*POWER(X5,3)+6.5459673*LN(X5) | V: 39.544589235539483
AH7   | t=           | F: 0.000041764768*POWER(AI5,2)-0.000000014452093*POWER(AI5,3)+6.5459673*LN(AI5) | V: 39.544589235539483
AS7   | t=e          | F: 0.000041764768*POWER(AT5,2)-0.000000014452093*POWER(AT5,3)+6.5459673*LN(AT5) | V: #VALUE!
BD7   | t=e          | F: 0.000041764768*POWER(BE5,2)-0.000000014452093*POWER(BE5,3)+6.5459673*LN(BE5) | V: #VALUE!
BO7   | t=e          | F: 0.000041764768*POWER(BP5,2)-0.000000014452093*POWER(BP5,3)+6.5459673*LN(BP5) | V: #VALUE!
BZ7   | t=e          | F: 0.000041764768*POWER(CA5,2)-0.000000014452093*POWER(CA5,3)+6.5459673*LN(CA5) | V: #VALUE!
A8    | t=           | F: EXP(A6+A7)/1000 | V: 0.61121286745119141
L8    | t=           | F: EXP(L6+L7)/1000 | V: 0.61121286745119141
W8    | t=           | F: EXP(W6+W7)/1000 | V: 0.61121286745119141
AH8   | t=           | F: EXP(AH6+AH7)/1000 | V: 0.61121286745119141
AS8   | t=e          | F: EXP(AS6+AS7)/1000 | V: #VALUE!
BD8   | t=e          | F: EXP(BD6+BD7)/1000 | V: #VALUE!
BO8   | t=e          | F: EXP(BO6+BO7)/1000 | V: #VALUE!
BZ8   | t=e          | F: EXP(BZ6+BZ7)/1000 | V: #VALUE!
A10   | t=s          | F:  | V: Pw = Pressure of water vapour
L10   | t=s          | F:  | V: Pw = Pressure of water vapour
W10   | t=s          | F:  | V: Pw = Pressure of water vapour
AH10  | t=s          | F:  | V: Pw = Pressure of water vapour
AS10  | t=s          | F:  | V: Pw = Pressure of water vapour
BD10  | t=s          | F:  | V: Pw = Pressure of water vapour
BO10  | t=s          | F:  | V: Pw = Pressure of water vapour
BZ10  | t=s          | F:  | V: Pw = Pressure of water vapour
A11   | t=           | F: B3/100*A8 | V: 0
L11   | t=           | F: M3/100*L8 | V: 0
